City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Zaysan,0,KZ,1570164740,30,47.47,84.87,52.36,6.2
Soyalo,75,MX,1570164741,78,16.9,-92.92,75.2,1.5
Lebu,75,ET,1570164540,87,8.96,38.73,57.2,6.93
Qaanaaq,75,GL,1570164741,61,77.48,-69.36,26.06,7.99
Murray Bridge,99,AU,1570164741,39,-35.12,139.28,82.0,4.41
Hermanus,100,ZA,1570164542,87,-34.42,19.24,61.0,7.0
Dikson,100,RU,1570164542,91,73.51,80.55,27.8,26.53
Katsuura,40,JP,1570164742,51,33.93,134.5,84.0,14.99
Kemin,100,KG,1570164742,37,42.79,75.7,57.14,2.64
Khandbari,99,NP,1570164743,82,27.38,87.21,61.66,5.14
Upernavik,79,GL,1570164543,75,72.79,-56.15,37.29,10.29
Salinopolis,0,BR,1570164743,80,-0.61,-47.36,80.06,15.64
Luderitz,0,NA,1570164744,71,-26.65,15.16,56.21,24.85
Leningradskiy,100,RU,1570164744,82,69.38,178.42,33.53,15.68
Bandarbeyla,100,SO,1570164745,59,9.49,50.81,82.45,7.43
Lima,90,PE,1570164545,88,-12.06,-77.04,62.6,10.29
Coihaique,0,CL,1570164745,52,-45.58,-72.07,44.6,6.93
Aginskoye,8,RU,1570164745,39,51.11,114.54,46.22,10.4
Salalah,20,OM,1570164746,74,17.01,54.1,82.4,2.24
Rikitea,83,PF,1570164546,78,-23.12,-134.97,69.56,24.58
Oriximina,31,BR,1570164546,73,-1.77,-55.87,79.27,4.59
Nikolskoye,90,RU,1570164746,93,59.7,30.79,37.99,8.95
Punta Arenas,40,CL,1570164746,80,-53.16,-70.91,44.6,27.51
Thompson,5,CA,1570164547,86,55.74,-97.86,26.6,2.24
Lagoa,0,PT,1570164747,82,37.14,-8.45,66.2,8.05
Suchiapa,75,MX,1570164748,78,16.62,-93.08,75.2,1.23
Leninsk,90,RU,1570164549,100,48.69,45.2,57.2,11.18
Yellowknife,20,CA,1570164748,80,62.45,-114.38,41.0,4.7
Saint-Philippe,90,CA,1570164748,100,45.36,-73.48,45.0,9.17
Bluff,0,AU,1570164749,19,-23.58,149.07,83.3,13.33
Hamilton,75,CA,1570164749,100,43.26,-79.87,57.0,5.82
North Las Vegas,1,US,1570164749,11,36.2,-115.11,78.8,9.17
Souillac,90,FR,1570164750,100,45.6,-0.6,61.0,6.93
Agadir,0,MA,1570164750,87,30.42,-9.58,59.0,3.36
Chuy,100,UY,1570164750,89,-33.69,-53.46,55.67,19.71
Namatanai,58,PG,1570164751,78,-3.66,152.44,80.47,9.42
Haines Junction,71,CA,1570164751,69,60.75,-137.51,31.75,1.99
Faya,0,SA,1570164751,39,18.39,42.45,62.6,3.74
Hilo,20,US,1570164752,65,19.71,-155.08,82.4,3.36
Kultuk,0,RU,1570164752,33,51.73,103.71,52.66,3.62
Balabac,100,PH,1570164752,74,7.99,117.06,82.63,4.14
Nome,75,US,1570164553,88,30.04,-94.42,80.6,5.03
Santa Maria da Vitoria,59,BR,1570164752,39,-13.39,-44.19,76.06,3.85
Mataura,99,NZ,1570164753,54,-46.19,168.86,61.0,15.01
Pangkalanbuun,48,ID,1570164753,64,-2.68,111.62,85.17,6.53
Ribeira Grande,64,PT,1570164754,81,38.52,-28.7,71.11,24.16
Gorom-Gorom,11,BF,1570164754,58,14.45,-0.24,81.05,13.8
Bredasdorp,97,ZA,1570164754,87,-34.53,20.04,51.8,8.05
Kavaratti,40,IN,1570164755,79,10.57,72.64,84.2,5.88
Kamaishi,75,JP,1570164755,73,39.28,141.86,73.4,20.8
Cabo San Lucas,40,MX,1570164635,83,22.89,-109.91,81.0,7.29
Blackwater,52,GB,1570164755,93,51.33,-0.78,55.99,10.29
Sao Filipe,84,CV,1570164756,83,14.9,-24.5,78.51,1.83
Port Elizabeth,90,US,1570164756,94,39.31,-74.98,71.01,2.06
Tuktoyaktuk,90,CA,1570164756,100,69.44,-133.03,33.8,9.17
Kuytun,0,RU,1570164557,41,54.34,101.51,50.84,5.7
Shima,75,JP,1570164557,57,34.34,136.82,80.6,17.22
Natal,75,BR,1570164747,83,-5.81,-35.21,78.8,17.22
Kennewick,1,US,1570164757,71,46.21,-119.12,53.01,3.36
Touros,40,BR,1570164558,78,-5.2,-35.46,77.0,9.17
Yichun,33,CN,1570164558,29,47.72,128.88,46.67,8.55
Richards Bay,35,ZA,1570164758,79,-28.77,32.06,69.26,9.06
Port Alfred,30,ZA,1570164758,76,-33.59,26.89,60.01,5.19
Saint George,40,GR,1570164758,87,39.45,22.34,59.0,4.7
Brae,1,GB,1570164759,87,60.4,-1.35,48.2,13.87
Bethel,90,US,1570164562,100,60.79,-161.76,46.4,21.92
Hithadhoo,89,MV,1570164759,78,-0.6,73.08,81.98,12.3
Bereda,75,ES,1570164759,88,43.27,-7.54,62.6,4.7
Thinadhoo,100,MV,1570164760,73,0.53,72.93,82.63,7.96
Giyani,0,ZA,1570164760,50,-23.32,30.73,74.5,4.52
Svarstad,75,NO,1570164760,100,59.4,9.97,39.0,9.17
San Patricio,89,PY,1570164760,96,-26.98,-56.83,69.26,3.0
Puerto Ayora,100,EC,1570164761,93,-0.74,-90.35,66.99,5.01
Alice Springs,0,AU,1570164761,8,-23.7,133.88,95.0,21.92
Bambous Virieux,34,MU,1570164761,64,-20.34,57.76,73.0,5.01
Lompoc,1,US,1570164762,82,34.64,-120.46,60.01,16.96
Bundaberg,0,AU,1570164762,41,-24.87,152.35,77.0,12.75
Chavakkad,40,IN,1570164762,74,10.53,76.05,87.8,3.36
Romans-sur-Isere,0,FR,1570164762,100,45.05,5.06,46.0,5.82
Todos Santos,40,MX,1570164763,83,23.45,-110.23,81.0,9.31
Cidreira,100,BR,1570164568,95,-30.17,-50.22,64.49,11.77
Pandan,13,PH,1570164763,74,11.72,122.09,83.3,11.18
Tutrakan,90,BG,1570164763,93,44.05,26.62,54.0,14.99
Tabuk,65,PH,1570164764,93,17.41,121.44,69.49,1.43
Buala,100,SB,1570164764,79,-8.15,159.59,79.61,1.77
Nanortalik,88,GL,1570164764,73,60.14,-45.24,39.63,4.29
Goderich,62,CA,1570164764,91,43.74,-81.71,57.0,24.47
Kruisfontein,60,ZA,1570164765,66,-34.0,24.73,59.77,4.32
Faanui,22,PF,1570164765,80,-16.48,-151.75,78.47,16.98
Luza,100,RU,1570164765,97,60.63,47.26,39.74,8.84
Ardmore,40,US,1570164526,88,34.99,-86.85,80.01,8.16
Casper,1,US,1570164766,75,42.87,-106.31,53.01,3.36
Geraldton,75,CA,1570164766,96,49.72,-86.95,32.0,4.7
Srednekolymsk,100,RU,1570164571,87,67.46,153.71,24.51,16.06
Chamba,100,IN,1570164571,43,32.56,76.12,72.97,3.36
Fomboni,17,KM,1570164572,81,-12.28,43.74,79.81,15.05
San Juan,19,AR,1570164581,43,-31.54,-68.53,38.3,3.02
Shache,96,CN,1570164767,90,38.42,77.24,73.99,3.94
Kirovskiy,99,RU,1570164767,67,45.09,133.51,50.77,9.46
Atuona,22,PF,1570164768,78,-9.8,-139.03,79.99,17.43
Okoneshnikovo,100,RU,1570164768,62,54.84,75.08,54.43,11.61
Saldanha,14,PT,1570164768,94,41.42,-6.55,57.52,1.43
Namie,75,JP,1570164574,100,37.52,140.86,73.99,13.87
Mount Isa,5,AU,1570164769,13,-20.73,139.49,93.2,20.8
Kawalu,32,ID,1570164574,38,-7.38,108.21,86.14,9.84
Tasiilaq,100,GL,1570164769,75,65.61,-37.64,42.8,23.04
Chichicastenango,100,GT,1570164769,99,14.94,-91.11,54.0,2.19
Bijar,0,IR,1570164770,23,35.87,47.6,66.54,4.97
Castro,90,CL,1570164770,81,-42.48,-73.76,42.8,5.82
Atar,27,MR,1570164576,20,20.52,-13.05,81.86,5.86
Ankazoabo,0,MG,1570164771,44,-22.29,44.51,82.87,6.82
Guilin,5,CN,1570164771,49,25.28,110.29,89.6,4.47
Arraial do Cabo,1,BR,1570164771,91,-22.97,-42.02,68.68,12.71
Rawson,41,AR,1570164771,45,-43.3,-65.11,49.94,19.91
Barguzin,95,RU,1570164772,68,53.62,109.63,35.44,4.25
Opuwo,33,NA,1570164772,29,-18.06,13.84,71.35,1.25
Bow Island,1,CA,1570164578,60,49.87,-111.38,45.0,10.29
East London,75,ZA,1570164772,87,-33.02,27.91,60.8,5.82
Juneau,75,US,1570164773,87,58.3,-134.42,46.99,3.06
Rio Grande,100,BR,1570164773,96,-32.03,-52.1,58.53,10.16
Pevek,100,RU,1570164579,72,69.7,170.27,32.29,17.4
Camacha,40,PT,1570164774,83,33.08,-16.33,71.6,6.93
Inirida,100,CO,1570164774,99,3.87,-67.92,71.83,2.66
Cherskiy,100,RU,1570164774,93,68.75,161.3,24.2,6.46
Rudsar,75,IR,1570164774,88,37.14,50.29,71.6,2.77
Lalmohan,15,BD,1570164775,58,22.34,90.74,89.72,6.96
Hofn,100,IS,1570164775,99,64.25,-15.21,31.12,5.57
Santa Maria,0,BR,1570164775,53,-16.02,-48.01,71.6,2.24
Vizinga,100,RU,1570164581,91,61.08,50.08,34.97,9.95
San Jose,100,HN,1570164582,98,14.25,-87.96,64.94,1.52
Alofi,98,NU,1570164776,83,-19.06,-169.92,75.2,11.41
Atakpame,98,TG,1570164776,89,7.53,1.13,69.64,0.51
Eyrarbakki,90,IS,1570164777,61,63.86,-21.15,48.2,17.22
Magadan,99,RU,1570164777,70,59.56,150.8,35.6,4.76
Vila do Maio,75,CV,1570164777,88,15.13,-23.22,80.6,4.7
Kabelvag,0,NO,1570164777,60,68.21,14.48,39.2,4.7
Mnogovershinnyy,40,RU,1570164778,44,53.94,139.92,38.62,15.86
Quelimane,0,MZ,1570164584,94,-17.88,36.89,68.0,2.24
Guerrero Negro,0,MX,1570164584,78,27.97,-114.04,67.48,13.67
Gat,86,SN,1570164778,88,14.69,-16.54,77.0,3.36
Snyder,1,US,1570164779,72,32.72,-100.92,69.8,18.34
Vostok,100,RU,1570164779,97,46.45,135.83,39.81,3.29
Zhigansk,30,RU,1570164779,53,66.77,123.37,29.21,5.79
Georgiyevka,10,RU,1570164585,77,52.25,40.45,59.41,13.96
Ixtapa,90,MX,1570164780,100,20.71,-105.21,78.01,10.58
Midland,75,US,1570164734,68,32.0,-102.08,75.2,14.99
Shingu,20,JP,1570164780,58,33.72,135.99,82.4,18.34
Aswan,0,EG,1570164781,28,24.09,32.9,80.6,9.17
Mazagao,20,BR,1570164587,94,-0.12,-51.29,80.6,9.17
Pisco,35,PE,1570164587,82,-13.71,-76.2,62.6,5.82
Kavieng,77,PG,1570164781,69,-2.57,150.8,84.72,9.57
Camocim,35,BR,1570164782,77,-2.9,-40.84,77.57,11.36
Tautira,40,PF,1570164782,69,-17.73,-149.15,80.6,6.93
Cap Malheureux,11,MU,1570164782,64,-19.98,57.61,73.0,5.01
Chegdomyn,0,RU,1570164589,31,51.13,133.04,46.47,6.62
Talnakh,75,RU,1570164589,93,69.49,88.39,41.0,20.13
Sitka,98,US,1570164783,83,37.17,-99.65,53.01,7.0
Samarai,100,PG,1570164590,93,-10.62,150.67,74.68,7.38
Shelburne,90,CA,1570164784,100,44.08,-80.2,54.0,6.93
Mecca,0,SA,1570164694,50,21.43,39.83,90.93,5.53
Ludvika,62,SE,1570164784,93,60.15,15.18,33.01,4.7
Barrow,100,AR,1570164785,63,-38.31,-60.23,41.38,9.08
Pangody,63,RU,1570164591,71,65.85,74.49,36.97,21.59
Mingyue,100,CN,1570164785,95,43.11,128.91,41.23,5.14
Saint Anthony,1,US,1570164785,70,43.97,-111.68,46.4,6.26
Muros,75,ES,1570164786,100,42.77,-9.06,64.99,6.78
Torbay,20,CA,1570164603,76,47.66,-52.73,41.0,18.34
Chabahar,40,IR,1570164593,78,25.29,60.65,82.4,8.75
Ilulissat,100,GL,1570164786,34,69.22,-51.1,48.2,19.46
Shirokiy,69,RU,1570164787,76,53.87,39.17,58.1,15.46
Uusikaupunki,90,FI,1570164594,77,60.8,21.41,34.0,4.7
Denia,0,ES,1570164787,74,38.84,0.11,64.99,3.02
Nalut,3,LY,1570164787,64,31.86,10.98,63.1,3.83
Batemans Bay,65,AU,1570164788,81,-35.71,150.18,75.0,3.0
Butaritari,100,KI,1570164788,70,3.07,172.79,83.01,9.71
Imphal,40,IN,1570164788,83,24.8,93.94,77.0,4.7
Oskaloosa,1,US,1570164595,87,39.22,-95.31,55.0,6.93
Daru,96,PG,1570164596,81,-9.07,143.21,78.42,14.72
Diu,28,IN,1570164789,66,20.71,70.98,84.68,5.55
Ulladulla,75,AU,1570164789,68,-35.36,150.48,73.99,12.75
Lamu,81,CN,1570164596,53,35.77,102.37,56.14,3.15
San Cristobal,100,HN,1570164597,96,14.68,-86.92,67.24,1.97
Alice Town,2,BS,1570164597,78,25.72,-79.3,80.08,10.67
Nha Trang,20,VN,1570164790,59,12.24,109.19,91.4,10.29
Kodiak,1,US,1570164598,87,39.95,-94.76,52.0,4.7
Sohagpur,14,IN,1570164790,63,22.7,78.2,84.11,3.69
Henties Bay,0,NA,1570164791,89,-22.12,14.28,57.18,10.07
Huambo,4,AO,1570164598,53,-12.78,15.73,68.63,1.81
Amarante do Maranhao,0,BR,1570164847,77,-5.57,-46.74,73.43,4.27
Havelock,1,US,1570164599,88,34.88,-76.9,80.6,6.93
Tocopilla,49,CL,1570164848,84,-22.09,-70.2,57.63,10.47
Sinop,0,TR,1570164848,82,42.03,35.15,57.2,5.82
Fayaoue,84,NC,1570164848,74,-20.65,166.53,70.82,18.95
Richmond,90,CA,1570164632,81,49.16,-123.14,54.0,11.41
Noumea,20,NC,1570164849,47,-22.28,166.46,77.0,20.8
Havre-Saint-Pierre,75,CA,1570164849,74,50.23,-63.6,33.8,2.24
Ketchikan,90,US,1570164849,93,55.34,-131.65,51.8,5.82
Nata,21,BW,1570164850,54,-20.21,26.19,73.16,15.32
Westport,90,US,1570164850,100,41.14,-73.36,60.8,11.41
Singapore,40,MY,1570164692,78,1.29,103.85,86.0,6.93
Lorengau,65,PG,1570164851,72,-2.02,147.27,83.24,5.99
Bure,92,NG,1570164602,82,10.52,10.33,71.8,5.7
Perth,75,AU,1570164604,49,-31.95,115.86,68.0,28.86
Marawi,51,PH,1570164603,78,8.0,124.29,84.99,4.0
Tutoia,19,BR,1570164603,93,-2.76,-42.27,73.0,3.11
Shu,25,KZ,1570164852,28,43.6,73.76,66.83,4.59
Rosarito,40,CO,1570164852,94,4.91,-75.23,68.0,2.24
Kampot,40,KH,1570164852,78,10.62,104.18,84.2,56.37
Sovetskaya Gavan,100,RU,1570164605,74,48.97,140.29,40.35,8.08
Antalaha,76,MG,1570164853,62,-14.9,50.28,79.52,1.59
Maceio,75,BR,1570164593,94,-9.67,-35.74,73.4,5.82
Muzaffarabad,100,PK,1570164854,76,34.37,73.47,56.96,9.71
Norman Wells,75,CA,1570164854,93,65.28,-126.83,37.4,6.93
Pierre,1,US,1570164799,93,44.37,-100.35,37.99,9.17
Moron,59,HT,1570164854,79,18.56,-74.26,80.29,3.09
Campina Verde,0,BR,1570164855,32,-19.54,-49.49,73.63,2.98
Chenghai,0,CN,1570164607,49,23.46,116.77,89.6,4.47
Fortuna,1,US,1570164855,100,40.6,-124.16,53.01,4.7
Carnarvon,0,ZA,1570164855,21,-30.97,22.13,55.76,1.1
Urengoy,82,RU,1570164856,66,65.96,78.37,40.12,18.75
Vao,100,EE,1570164856,86,59.1,26.19,38.86,11.03
Umm Lajj,18,SA,1570164856,72,25.02,37.27,85.4,6.22
Cuenca,100,EC,1570164856,87,-2.9,-79.0,53.6,3.36
Kalmunai,15,LK,1570164857,46,7.42,81.82,94.28,1.61
Filingue,22,NE,1570164610,42,14.35,3.32,84.81,9.84
Tiksi,100,RU,1570164857,90,71.64,128.87,27.14,24.09
Bati,32,ET,1570164857,60,11.19,40.02,71.89,1.72
Visby,40,SE,1570164858,87,57.64,18.3,42.8,13.87
College,90,US,1570164611,93,64.86,-147.8,41.0,4.7
Mlonggo,20,ID,1570164858,34,-6.53,110.7,95.0,13.87
Dingle,25,PH,1570164858,60,11.0,122.67,87.44,3.58
Fort Morgan,1,US,1570164859,61,40.25,-103.8,51.8,6.93
Kristinehamn,69,SE,1570164612,87,59.31,14.11,36.0,8.05
Bara,99,NG,1570164859,84,10.41,10.6,71.78,7.38
Wasilla,20,US,1570164836,81,61.58,-149.44,46.4,3.51
Zabol,0,IR,1570164860,26,31.03,61.49,71.6,21.92
Kirakira,91,SB,1570164860,71,-10.46,161.92,82.31,5.06
Kodinsk,100,RU,1570164861,74,58.6,99.18,46.85,11.03
Isabela,2,PH,1570164861,67,10.2,122.99,83.5,6.91
Ponta do Sol,0,BR,1570164861,62,-20.63,-46.0,64.09,7.61
Mackenzie,90,CA,1570164862,81,55.34,-123.09,44.6,5.82
Clyde River,90,CA,1570164862,94,70.47,-68.59,32.0,6.93
Kongolo,100,CD,1570164615,94,-5.39,27.0,71.22,3.53
Christchurch,32,NZ,1570164594,54,-43.53,172.64,60.01,14.99
Arlit,0,NE,1570164616,10,18.74,7.39,86.34,8.03
Sur,0,OM,1570164863,39,22.57,59.53,94.85,5.01
Byron Bay,0,AU,1570164863,56,-28.65,153.62,87.8,19.46
Nauta,100,PE,1570164863,98,-4.51,-73.58,71.67,3.29
Mahanoro,61,MG,1570164863,66,-19.9,48.8,79.36,2.51
Chase,90,US,1570164617,76,38.35,-98.35,57.2,8.05
Voh,49,NC,1570164864,73,-20.95,164.69,70.28,23.17
Robertsport,98,LR,1570164864,90,6.75,-11.37,75.67,3.11
Makakilo City,75,US,1570164864,78,21.35,-158.09,82.4,9.17
Pundaguitan,41,PH,1570164618,72,6.37,126.17,82.97,8.59
Khorol,94,UA,1570164865,84,49.78,33.27,53.54,10.96
Ayagoz,0,KZ,1570164865,22,47.96,80.43,53.67,9.19
Constitucion,79,MX,1570164866,69,23.99,-104.67,64.0,4.0
Victoria,75,BN,1570164808,74,5.28,115.24,84.2,4.7
Mayumba,100,GA,1570164866,93,-3.44,10.65,74.84,14.18
Oktyabrskiy,0,RU,1570164866,87,55.61,37.97,59.0,6.71
Te Anau,90,NZ,1570164620,84,-45.41,167.72,46.99,9.64
Camrose,90,CA,1570164867,60,53.01,-112.84,42.8,8.05
Huarmey,77,PE,1570164867,92,-10.07,-78.15,61.23,17.92
Chengzihe,99,CN,1570164868,66,45.35,131.0,43.55,8.88
Shimoda,20,JP,1570164868,69,34.7,138.93,82.4,21.92
Necochea,100,AR,1570164622,76,-38.55,-58.74,44.01,1.99
Fort Nelson,90,CA,1570164868,76,58.81,-122.69,53.6,2.24
Cornwall,90,CA,1570164868,100,45.02,-74.73,46.0,4.7
Jamsa,90,FI,1570164869,86,61.86,25.19,33.01,8.05
Turbat,4,PK,1570164869,52,26.0,63.05,85.67,6.13
Narsaq,72,GL,1570164623,31,60.91,-46.05,50.0,16.11
Panzhihua,41,CN,1570164623,53,26.59,101.72,82.43,1.23
Kununurra,75,AU,1570164870,22,-15.77,128.74,98.6,5.82
Aguimes,20,ES,1570164870,78,27.91,-15.45,71.6,25.28
Hirara,40,JP,1570164870,74,24.8,125.28,84.2,10.29
Alta Floresta,32,BR,1570164870,86,-9.87,-56.08,71.17,0.29
Sydney Mines,75,CA,1570164871,93,46.24,-60.22,43.0,4.7
Sisimiut,73,GL,1570164871,61,66.94,-53.67,41.65,10.13
Baykit,100,RU,1570164625,90,61.68,96.39,37.92,10.11
Bouloupari,20,NC,1570164871,47,-21.87,166.05,77.0,20.8
Parana,80,BR,1570164872,98,-7.52,-72.89,71.98,3.29
Anchorage,75,US,1570164646,81,61.22,-149.89,46.4,2.21
Pianoro,0,IT,1570164777,81,44.39,11.34,52.0,8.05
Ayorou,5,NE,1570164626,46,14.73,0.92,83.6,11.07
Jawhar,35,IN,1570164873,70,19.91,73.23,85.17,3.36
Laguna,40,BZ,1570164873,88,16.17,-88.94,78.8,1.34
Calarca,40,CO,1570164627,93,4.44,-75.21,66.2,4.7
Poum,100,MK,1570164873,89,41.28,20.71,51.15,5.21
Abha,0,SA,1570164874,39,18.22,42.5,62.6,16.93
Madras,90,US,1570164628,70,44.63,-121.13,46.99,4.7
Carutapera,0,BR,1570164874,81,-1.2,-46.02,77.52,6.96
Masterton,0,NZ,1570164874,74,-40.95,175.66,55.0,11.99
Smithers,90,CA,1570164870,93,54.78,-127.17,44.6,2.24
Tessalit,0,ML,1570164629,13,20.2,1.01,79.97,7.31
Evensk,7,RU,1570164875,52,61.92,159.24,30.45,2.44
Kutum,75,SD,1570164875,55,14.2,24.66,75.23,5.46
Kalmar,0,SE,1570164876,100,56.66,16.36,37.99,4.7
Fairbanks,90,US,1570164690,93,64.84,-147.72,39.2,4.7
Bonoua,75,CI,1570164876,88,5.27,-3.6,78.8,10.29
Ucluelet,2,CA,1570164736,86,48.94,-125.55,53.01,13.42
Zhangye,0,CN,1570164876,44,38.94,100.46,58.78,7.23
Atambua,0,ID,1570164877,72,-9.11,124.89,79.32,10.51
Naze,100,NG,1570164877,96,5.43,7.07,72.1,2.48
Mapiripan,54,CO,1570164877,94,2.89,-72.13,68.83,1.9
Penzance,69,GB,1570164877,82,50.12,-5.53,57.99,18.34
Vardo,90,US,1570164878,88,39.62,-77.74,73.0,6.93
Esperance,90,AU,1570164878,82,-33.86,121.89,62.6,10.29
Muisne,100,EC,1570164878,87,0.61,-80.02,74.35,16.84
Shepsi,20,RU,1570164879,68,44.04,39.15,71.38,12.68
Ust-Maya,39,RU,1570164879,45,60.42,134.54,32.66,2.48
Cururupu,1,BR,1570164634,98,-1.82,-44.87,71.51,2.28
Raudeberg,40,NO,1570164879,62,61.99,5.14,48.2,17.22
Maniwaki,100,CA,1570164634,97,46.38,-75.98,40.06,6.15
Ayacucho,100,PE,1570164880,85,-13.16,-74.23,44.9,2.95
Korostarcsa,0,HU,1570164880,93,46.88,21.03,45.0,2.77
Chicama,90,PE,1570164880,87,-7.84,-79.15,60.8,11.41
Russell,90,US,1570164881,71,38.9,-98.86,57.2,9.17
Mudanjiang,100,CN,1570164881,93,44.58,129.6,39.88,8.23
Najran,0,SA,1570164881,29,17.54,44.22,77.0,12.19
Meulaboh,64,ID,1570164881,77,4.14,96.13,80.54,2.71
Makamba,6,BI,1570164882,53,-4.13,29.8,76.66,2.42
Assiniboia,35,CA,1570164882,76,49.63,-105.99,43.3,16.55
Bloemhof,0,ZA,1570164883,37,-27.65,25.61,66.34,10.36
Siva,20,GR,1570164883,65,35.21,25.04,82.0,29.97
Nichinan,20,JP,1570164883,54,31.65,131.31,82.4,6.93
Lukow,5,PL,1570164884,97,51.93,22.38,48.0,7.76
Ormara,27,PK,1570164884,58,25.21,64.64,87.04,10.96
Dhidhdhoo,39,MV,1570164884,66,6.88,73.1,83.5,3.38
Dicabisagan,91,PH,1570164885,90,17.08,122.42,76.04,2.8
Maragogi,23,BR,1570164885,93,-9.01,-35.22,69.49,3.85
Kenai,40,US,1570164885,87,60.55,-151.26,44.6,4.7
Rocha,96,UY,1570164885,91,-34.48,-54.34,52.28,9.98
Grabs,0,CH,1570164640,100,47.18,9.44,46.99,1.12
Novikovo,0,RU,1570164886,73,51.15,37.89,59.59,10.49
Anadyr,75,RU,1570164886,73,64.73,177.51,26.6,24.61
Camalu,0,MX,1570164886,78,30.85,-116.07,65.62,13.65
Santa Vitoria do Palmar,100,BR,1570164887,92,-33.52,-53.37,54.55,17.4
Arriaga,100,MX,1570164887,96,16.24,-93.9,66.86,2.82
Trelew,41,AR,1570164834,45,-43.25,-65.31,49.94,19.91
Udachnyy,90,RU,1570164888,92,66.42,112.4,26.6,2.24
Esmeraldas,0,BR,1570164888,55,-19.76,-44.31,69.8,11.41
Kigoma,0,TZ,1570164888,55,-4.88,29.64,78.47,11.72
Puro,0,PH,1570164888,69,13.13,123.76,83.64,6.62
Duma,100,CN,1570164644,88,34.88,111.1,65.8,8.9
Nipani,0,NP,1570164889,58,27.63,84.5,88.05,2.86
Ocotal,100,NI,1570164644,99,13.63,-86.48,67.76,0.67
Mount Gambier,90,AU,1570164890,82,-37.83,140.78,55.4,9.17
Chokurdakh,100,RU,1570164890,95,70.62,147.9,27.32,18.92
Mabai,89,CN,1570164891,70,23.01,104.4,75.88,5.77
